Name,Code,X,Y,H,EchoHeight,precisionX,precisionY,precisionH,RMS,PDOP,(Number of Satellite)GNSS,Satellites used\Satellites Tracked,Elevation mask,TIME,84Lat,84Lon,84Height,2BaseX,2BaseY,2BaseH,2Base,Antenna Height,Survery Time,Method,Ambiguity Solution Type,Number Of Epoch
ykn2,,4183929.070644,520484.596376,895.400274,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011625,2.554825,10,?\?,?,2020Y07M10D08H46M47S---2020Y07M10D08H46M56S,?,?,?,-0.509385,-0.454547,-0.756739,1.019186,2.000000,10,,rtk fix,10
ykn2k,,4183929.056243,520484.573775,895.388308,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012293,2.554721,9,?\?,?,2020Y07M10D08H47M06S---2020Y07M10D08H47M15S,?,?,?,-0.523786,-0.477148,-0.768705,1.045433,2.000000,10,,rtk fix,10
p1,,4183943.941470,520553.322098,898.464758,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011754,2.544365,9,?\?,?,2020Y07M10D08H52M29S---2020Y07M10D08H52M38S,?,?,?,14.705337,69.706579,1.201730,71.250953,2.000000,10,,rtk fix,10
p1k,,4183943.945852,520553.314820,898.450719,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011562,2.543465,9,?\?,?,2020Y07M10D08H52M45S---2020Y07M10D08H52M54S,?,?,?,14.709719,69.699301,1.187691,71.244502,2.000000,10,,rtk fix,10
ykn3,,4184032.262617,520724.547002,934.352844,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011991,2.496212,9,?\?,?,2020Y07M10D09H01M29S---2020Y07M10D09H01M38S,?,?,?,-0.723789,-0.946071,-1.088180,1.613399,2.000000,10,,rtk fix,10
ykn3k,,4184032.253819,520724.548210,934.383852,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011498,2.494514,9,?\?,?,2020Y07M10D09H01M44S---2020Y07M10D09H01M53S,?,?,?,-0.732587,-0.944863,-1.057172,1.595952,2.000000,10,,rtk fix,10
p2,,4184022.290892,520733.174034,934.970553,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012791,2.431375,9,?\?,?,2020Y07M10D09H09M03S---2020Y07M10D09H09M12S,?,?,?,-1.239682,-0.308185,-0.194473,1.292133,2.000000,10,,rtk fix,10
p2k,,4184022.278915,520733.179579,934.964002,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.013861,2.428738,9,?\?,?,2020Y07M10D09H09M17S---2020Y07M10D09H09M28S,?,?,?,-1.251659,-0.302640,-0.201024,1.303323,2.000000,10,,rtk fix,10
ykn4,,4184032.379438,520874.931987,952.124987,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.023358,5.905381,8,?\?,?,2020Y07M10D09H15M50S---2020Y07M10D09H15M59S,?,?,?,-2.320093,-1.271938,1.064947,2.852152,2.000000,10,,rtk fix,10
ykn4k,,4184032.390398,520874.919144,952.126388,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.021215,5.924512,8,?\?,?,2020Y07M10D09H16M11S---2020Y07M10D09H16M20S,?,?,?,-2.309133,-1.284781,1.066348,2.849536,2.000000,10,,rtk fix,10
